Posting Date,Document Type,Document No.,G/L Account No.,Description,Gen. Posting Type,Gen. Bus. Posting Group,Gen. Prod. Posting Group,Amount,Bal. Account Type,Bal. Account No.,Entry No.,Additional-Currency Amount,Department Code,FA Entry No.,FA Entry Type,G/L Account Name,IC Partner Code,Job No.,Project Code,Quantity,Reason Code,Reversed,Reversed by Entry No.,Reversed Entry No.,Source Code,User ID,VAT Amount
31/12/2021, ,START,1110,Opening Entry, ,,,"1,324,991.34",G/L Account,,1,0.00,,0, ,Land and Buildings,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1140,Opening Entry, ,,,"-340,556.22",G/L Account,,2,0.00,,0, ,"Accum. Depreciation, Buildings",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1210,Opening Entry, ,,,"582,872.18",G/L Account,,3,0.00,,0, ,Operating Equipment,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1240,Opening Entry, ,,,"-362,263.84",G/L Account,,4,0.00,,0, ,"Accum. Depr., Oper. Equip.",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1110,Opening Entry, ,,,"154,489.26",G/L Account,,5,0.00,,0, ,Land and Buildings,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1140,Opening Entry, ,,,"-62,924.95",G/L Account,,6,0.00,,0, ,"Accum. Depreciation, Buildings",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1310,Opening Entry, ,,,"49,473.91",G/L Account,,7,0.00,,0, ,Vehicles,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,1340,Opening Entry, ,,,"-24,803.76",G/L Account,,8,0.00,,0, ,"Accum. Depreciation, Vehicles",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2180,Opening Entry, ,,,"269,948.75",G/L Account,,9,0.00,,0, ,Primo Inventory,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2180,Opening Entry, ,,,"135,240.26",G/L Account,,10,0.00,,0, ,Primo Inventory,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2180,Opening Entry, ,,,"36,027.66",G/L Account,,11,0.00,,0, ,Primo Inventory,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2180,Opening Entry, ,,,"473,952.09",G/L Account,,12,0.00,,0, ,Primo Inventory,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2310,Opening Entry, ,,,"796,861.11",G/L Account,,13,0.00,,0, ,Customers Domestic,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2320,Opening Entry, ,,,"88,540.12",G/L Account,,14,0.00,,0, ,"Customers, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2330,Opening Entry, ,,,"3,674.06",G/L Account,,15,0.00,,0, ,Accrued Interest,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2810,Opening Entry, ,,,"11,860.69",G/L Account,,16,0.00,,0, ,Bonds,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2910,Opening Entry, ,,,150.56,G/L Account,,17,0.00,,0, ,Cash,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2920,Opening Entry, ,,,"2,543.32",G/L Account,,18,0.00,,0, ,"Bank, LCY",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,2940,Opening Entry, ,,,"5,371.40",G/L Account,,19,0.00,,0, ,Giro Account,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,3110,Opening Entry, ,,,"-292,000.00",G/L Account,,20,0.00,,0, ,Capital Stock,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
