amount,amountCreditDebitIndicator,effectiveDate,glAccountNumber,jeHeaderDescription,journalId,journalIdLineNumber,transactionId,transactionTypeDescription,transactionType,reversalReason,isNegativePostingIndicator,reversalID,reversalType,reversalFiscalYear,isInterCoFlag,clearingDocumentNumber,clearingDate,customerNumber,vendorNumber,documentStatus,documentDate,documentType,transactionKey,accountType,referenceTransaction,businessTransactionCode,postingKey,isClearing,referenceSubledgerDocumentNumber,transactionCode,amountCurrency,approvedBy,approvedDateTime,businessUnitCode,enteredBy,enteredDateTime,fiscalYear,jeLineDescription,journalEntryType,lastModifiedBy,lastModifiedDate,localAmount,localAmountCurrency,period,reportingAmount,reportingAmountCurrency,reversalIndicator,reversalJournalId,segment01,segment02,segment03,segment04,segment05,sourceId,tags,taxCode,userDefined1,userDefined2
6536.62,D,2020-07-04T00:00:00Z,13101,BOM Build,2458,1,003-11-0000002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050630000001,,,,,,7,,,,,,,,,,,,,,
3088.39,D,2020-07-22T00:00:00Z,13101,BOM Build,2493,1,003-11-0000002493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,7,,,,,,,,,,,,,,
1800.02,D,2020-08-31T00:00:00Z,13101,BOM Build,2636,1,003-11-0000002636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,8,,,,,,,,,,,,,,
10754.76,D,2020-08-31T00:00:00Z,13101,BOM Build,2637,1,003-11-0000002637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050815000001,,,,,,8,,,,,,,,,,,,,,
8965.81,D,2020-08-31T00:00:00Z,13101,BOM Build,2638,1,003-11-0000002638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050817000001,,,,,,8,,,,,,,,,,,,,,
1799.88,D,2020-07-07T00:00:00Z,13101,Order No 0000001115,7603,1,003-08-0000007603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001115,,,,,,7,,,,,,,,,,,,,,
1040.0,D,2020-07-07T00:00:00Z,13101,Order No 0000001115,7609,1,003-08-0000007609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001115,,,,,,7,,,,,,,,,,,,,,
3600.0,D,2020-07-07T00:00:00Z,13101,Order No 0000001115,7621,1,003-08-0000007621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001115,,,,,,7,,,,,,,,,,,,,,
3600.0,D,2020-07-07T00:00:00Z,13101,Order No 0000001115,7622,1,003-08-0000007622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001115,,,,,,7,,,,,,,,,,,,,,
3600.0,D,2020-07-07T00:00:00Z,13101,Order No 0000001115,7623,1,003-08-0000007623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001115,,,,,,7,,,,,,,,,,,,,,
3600.0,D,2020-07-07T00:00:00Z,13101,Order No 0000001115,7624,1,003-08-0000007624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001115,,,,,,7,,,,,,,,,,,,,,
1799.88,D,2020-07-07T00:00:00Z,13101,Order No 0000001959,13510,1,003-08-0000013510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001959,,,,,,7,,,,,,,,,,,,,,
1799.88,D,2020-07-07T00:00:00Z,13101,Order No 0000001959,13511,1,003-08-0000013511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001959,,,,,,7,,,,,,,,,,,,,,
3600.0,D,2020-07-07T00:00:00Z,13101,Order No 0000001959,13520,1,003-08-0000013520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001959,,,,,,7,,,,,,,,,,,,,,
1200.0,D,2020-07-14T00:00:00Z,13101,Order No 0000001131,7795,1,003-08-0000007795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001131,,,,,,7,,,,,,,,,,,,,,
1799.88,D,2020-07-14T00:00:00Z,13101,Order No 0000001144,7811,1,003-08-0000007811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001144,,,,,,7,,,,,,,,,,,,,,
2999.8,D,2020-07-14T00:00:00Z,13101,Order No 0000001144,7812,1,003-08-0000007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001144,,,,,,7,,,,,,,,,,,,,,
1799.88,D,2020-07-14T00:00:00Z,13101,Order No 0000001144,7813,1,003-08-0000007813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001144,,,,,,7,,,,,,,,,,,,,,
3600.0,D,2020-07-14T00:00:00Z,13101,Order No 0000001144,7825,1,003-08-0000007825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI / ABC001 / Order No 0000001144,,,,,,7,,,,,,,,,,,,,,
