amount,amountCreditDebitIndicator,effectiveDate,glAccountNumber,jeHeaderDescription,journalId,journalIdLineNumber,transactionId,transactionTypeDescription,transactionType,reversalReason,isNegativePostingIndicator,reversalID,reversalType,reversalFiscalYear,isInterCoFlag,clearingDocumentNumber,clearingDate,customerNumber,vendorNumber,documentStatus,documentDate,documentType,transactionKey,accountType,referenceTransaction,businessTransactionCode,postingKey,isClearing,referenceSubledgerDocumentNumber,transactionCode,amountCurrency,approvedBy,approvedDateTime,businessUnitCode,enteredBy,enteredDateTime,fiscalYear,jeLineDescription,journalEntryType,lastModifiedBy,lastModifiedDate,localAmount,localAmountCurrency,period,reportingAmount,reportingAmountCurrency,reversalIndicator,reversalJournalId,segment01,segment02,segment03,segment04,segment05,sourceId,tags,taxCode,userDefined1,userDefined2
10754.76,D,2020-08-31T00:00:00Z,13101,BOM Build,2637,1,003-11-0000002637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050815000001,,,,,,8,,,,,,,,,,,,,,
12214.13,D,2020-07-18T00:00:00Z,14100,0000000302,2487,1,003-07-0000002487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / FES001,,,,,,7,,,,,,,,,,,,,,
10242.77,D,2020-07-11T00:00:00Z,14100,0000000303,2557,1,003-07-0000002557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / TTC001,,,,,,7,,,,,,,,,,,,,,
16339.82,D,2020-08-29T00:00:00Z,14100,0000000313,2646,1,003-07-0000002646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / TUL001,,,,,,8,,,,,,,,,,,,,,
17244.89,D,2020-08-29T00:00:00Z,14100,0000000314,2647,1,003-07-0000002647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / TOT006,,,,,,8,,,,,,,,,,,,,,
13109.83,D,2020-08-29T00:00:00Z,14100,0000000315,2648,1,003-07-0000002648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / TOT004,,,,,,8,,,,,,,,,,,,,,
17493.02,D,2020-08-29T00:00:00Z,14100,0000000321,2654,1,003-07-0000002654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / ABB001,,,,,,8,,,,,,,,,,,,,,
17585.13,D,2020-07-02T00:00:00Z,14100,0000001040,7662,1,003-07-0000007662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN004,,,,,,7,,,,,,,,,,,,,,
20793.27,D,2020-07-02T00:00:00Z,14100,0000001043,7665,1,003-07-0000007665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN002,,,,,,7,,,,,,,,,,,,,,
10721.86,D,2020-07-02T00:00:00Z,14100,0000001044,7666,1,003-07-0000007666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON002,,,,,,7,,,,,,,,,,,,,,
11257.78,D,2020-07-02T00:00:00Z,14100,0000001051,7673,1,003-07-0000007673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON010,,,,,,7,,,,,,,,,,,,,,
11490.95,D,2020-07-02T00:00:00Z,14100,0000001057,7679,1,003-07-0000007679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR002,,,,,,7,,,,,,,,,,,,,,
10233.84,D,2020-07-02T00:00:00Z,14100,0000001070,7692,1,003-07-0000007692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / TOT003,,,,,,7,,,,,,,,,,,,,,
19052.16,D,2020-07-09T00:00:00Z,14100,0000001076,7868,1,003-07-0000007868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN009,,,,,,7,,,,,,,,,,,,,,
13653.96,D,2020-07-09T00:00:00Z,14100,0000001079,7871,1,003-07-0000007871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN008,,,,,,7,,,,,,,,,,,,,,
10346.76,D,2020-07-09T00:00:00Z,14100,0000001081,7873,1,003-07-0000007873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON004,,,,,,7,,,,,,,,,,,,,,
13217.64,D,2020-07-09T00:00:00Z,14100,0000001083,7875,1,003-07-0000007875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON001,,,,,,7,,,,,,,,,,,,,,
15419.82,D,2020-07-09T00:00:00Z,14100,0000001087,7879,1,003-07-0000007879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR008,,,,,,7,,,,,,,,,,,,,,
25173.23,D,2020-07-09T00:00:00Z,14100,0000001094,7886,1,003-07-0000007886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / FUT001,,,,,,7,,,,,,,,,,,,,,
11319.93,D,2020-07-16T00:00:00Z,14100,0000001099,8039,1,003-07-0000008039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN009,,,,,,7,,,,,,,,,,,,,,
11130.42,D,2020-07-16T00:00:00Z,14100,0000001111,8051,1,003-07-0000008051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON004,,,,,,7,,,,,,,,,,,,,,
13808.81,D,2020-07-16T00:00:00Z,14100,0000001114,8054,1,003-07-0000008054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR001,,,,,,7,,,,,,,,,,,,,,
26469.77,D,2020-07-16T00:00:00Z,14100,0000001121,8061,1,003-07-0000008061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR009,,,,,,7,,,,,,,,,,,,,,
27147.43,D,2020-07-16T00:00:00Z,14100,0000001123,8063,1,003-07-0000008063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / ha00001,,,,,,7,,,,,,,,,,,,,,
12596.02,D,2020-07-16T00:00:00Z,14100,0000001124,8064,1,003-07-0000008064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / WHI001,,,,,,7,,,,,,,,,,,,,,
13527.74,D,2020-07-23T00:00:00Z,14100,0000001125,8217,1,003-07-0000008217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN003,,,,,,7,,,,,,,,,,,,,,
18560.34,D,2020-07-23T00:00:00Z,14100,0000001129,8221,1,003-07-0000008221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN010,,,,,,7,,,,,,,,,,,,,,
15712.32,D,2020-07-23T00:00:00Z,14100,0000001133,8225,1,003-07-0000008225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON005,,,,,,7,,,,,,,,,,,,,,
14624.99,D,2020-07-23T00:00:00Z,14100,0000001143,8235,1,003-07-0000008235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR004,,,,,,7,,,,,,,,,,,,,,
10082.73,D,2020-07-23T00:00:00Z,14100,0000001147,8239,1,003-07-0000008239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR0101,,,,,,7,,,,,,,,,,,,,,
14535.53,D,2020-07-23T00:00:00Z,14100,0000001148,8240,1,003-07-0000008240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / EPOS10,,,,,,7,,,,,,,,,,,,,,
12996.64,D,2020-07-23T00:00:00Z,14100,0000001149,8241,1,003-07-0000008241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / COU001,,,,,,7,,,,,,,,,,,,,,
19100.88,D,2020-07-23T00:00:00Z,14100,0000001151,8243,1,003-07-0000008243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / ha00001,,,,,,7,,,,,,,,,,,,,,
15104.34,D,2020-07-30T00:00:00Z,14100,0000001154,8387,1,003-07-0000008387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN004,,,,,,7,,,,,,,,,,,,,,
21458.9,D,2020-07-30T00:00:00Z,14100,0000001158,8391,1,003-07-0000008391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON010,,,,,,7,,,,,,,,,,,,,,
17694.33,D,2020-07-30T00:00:00Z,14100,0000001159,8392,1,003-07-0000008392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON008,,,,,,7,,,,,,,,,,,,,,
16001.22,D,2020-07-30T00:00:00Z,14100,0000001163,8396,1,003-07-0000008396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR004,,,,,,7,,,,,,,,,,,,,,
11961.01,D,2020-07-30T00:00:00Z,14100,0000001170,8403,1,003-07-0000008403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / CHE001,,,,,,7,,,,,,,,,,,,,,
11560.97,D,2020-07-30T00:00:00Z,14100,0000001175,8408,1,003-07-0000008408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / NAN001,,,,,,7,,,,,,,,,,,,,,
24255.94,D,2020-08-06T00:00:00Z,14100,0000001176,8535,1,003-07-0000008535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN007,,,,,,8,,,,,,,,,,,,,,
14083.39,D,2020-08-06T00:00:00Z,14100,0000001178,8537,1,003-07-0000008537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN008,,,,,,8,,,,,,,,,,,,,,
12038.1,D,2020-08-06T00:00:00Z,14100,0000001182,8541,1,003-07-0000008541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON008,,,,,,8,,,,,,,,,,,,,,
17969.44,D,2020-08-06T00:00:00Z,14100,0000001185,8544,1,003-07-0000008544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR002,,,,,,8,,,,,,,,,,,,,,
15529.98,D,2020-08-06T00:00:00Z,14100,0000001186,8545,1,003-07-0000008545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR007,,,,,,8,,,,,,,,,,,,,,
11808.2,D,2020-08-06T00:00:00Z,14100,0000001191,8550,1,003-07-0000008550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / SIN001,,,,,,8,,,,,,,,,,,,,,
17125.4,D,2020-08-06T00:00:00Z,14100,0000001192,8551,1,003-07-0000008551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / TOT002,,,,,,8,,,,,,,,,,,,,,
12139.38,D,2020-08-13T00:00:00Z,14100,0000001201,8704,1,003-07-0000008704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / MAN008,,,,,,8,,,,,,,,,,,,,,
10930.56,D,2020-08-13T00:00:00Z,14100,0000001214,8717,1,003-07-0000008717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / LON005,,,,,,8,,,,,,,,,,,,,,
11682.84,D,2020-08-13T00:00:00Z,14100,0000001218,8721,1,003-07-0000008721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR006,,,,,,8,,,,,,,,,,,,,,
15029.1,D,2020-08-13T00:00:00Z,14100,0000001219,8722,1,003-07-0000008722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR002,,,,,,8,,,,,,,,,,,,,,
10495.59,D,2020-08-13T00:00:00Z,14100,0000001220,8723,1,003-07-0000008723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / BIR005,,,,,,8,,,,,,,,,,,,,,
12688.87,D,2020-08-13T00:00:00Z,14100,0000001222,8725,1,003-07-0000008725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / GEO001,,,,,,8,,,,,,,,,,,,,,
16621.91,D,2020-08-13T00:00:00Z,14100,0000001227,8730,1,003-07-0000008730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI / COU001,,,,,,8,,,,,,,,,,,,,,
